oid,content_id,payment_code,name,pay,payment_type,user_name,phone_number,status,created_at,completed_at
AI20250101120000_1704067200000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,card,김철수,010-1234-5678,success,2025-01-01T12:00:00+09:00,2025-01-01T12:01:30+09:00
AI20250101140000_1704074400000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,mobile,이영희,010-2345-6789,success,2025-01-01T14:00:00+09:00,2025-01-01T14:02:15+09:00
AI20250102100000_1704157200000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,card,박민수,010-3456-7890,success,2025-01-02T10:00:00+09:00,2025-01-02T10:01:45+09:00
AI20250102150000_1704175200000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,mobile,최지영,010-4567-8901,success,2025-01-02T15:00:00+09:00,2025-01-02T15:02:20+09:00
AI20250103110000_1704244800000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,card,정수진,010-5678-9012,success,2025-01-03T11:00:00+09:00,2025-01-03T11:01:50+09:00
AI20250103180000_1704271200000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,mobile,한소희,010-6789-0123,success,2025-01-03T18:00:00+09:00,2025-01-03T18:02:10+09:00
AI20250104140000_1704336000000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,card,윤미래,010-7890-1234,success,2025-01-04T14:00:00+09:00,2025-01-04T14:01:35+09:00
AI20250105120000_1704422400000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,mobile,강동원,010-8901-2345,success,2025-01-05T12:00:00+09:00,2025-01-05T12:02:25+09:00
AI20250106160000_1704510000000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,card,임수정,010-9012-3456,success,2025-01-06T16:00:00+09:00,2025-01-06T16:01:40+09:00
AI20250107100000_1704592800000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,mobile,오지은,010-0123-4567,success,2025-01-07T10:00:00+09:00,2025-01-07T10:02:15+09:00
AI20250108130000_1704680400000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,card,송혜교,010-1234-5678,success,2025-01-08T13:00:00+09:00,2025-01-08T13:01:55+09:00
AI20250109150000_1704769200000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,mobile,전지현,010-2345-6789,success,2025-01-09T15:00:00+09:00,2025-01-09T15:02:30+09:00
AI20250110110000_1704855600000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,card,김태희,010-3456-7890,success,2025-01-10T11:00:00+09:00,2025-01-10T11:01:45+09:00
AI20250111170000_1704945000000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,mobile,이병헌,010-4567-8901,success,2025-01-11T17:00:00+09:00,2025-01-11T17:02:20+09:00
AI20250112140000_1705033200000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,card,손예진,010-5678-9012,success,2025-01-12T14:00:00+09:00,2025-01-12T14:01:50+09:00
AI20250113090000_1705119000000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,mobile,공유,010-6789-0123,success,2025-01-13T09:00:00+09:00,2025-01-13T09:02:10+09:00
AI20250114120000_1705204800000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,card,한지민,010-7890-1234,success,2025-01-14T12:00:00+09:00,2025-01-14T12:01:35+09:00
AI20250115160000_1705292400000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,mobile,조인성,010-8901-2345,success,2025-01-15T16:00:00+09:00,2025-01-15T16:02:25+09:00
AI20250116100000_1705378800000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,card,김하늘,010-9012-3456,success,2025-01-16T10:00:00+09:00,2025-01-16T10:01:40+09:00
AI20250117130000_1705465800000,,1000,그림자 프로파일링 : 재회 솔루션(THE SHADOW PROFILING),22000,mobile,이민호,010-0123-4567,success,2025-01-17T13:00:00+09:00,2025-01-17T13:02:15+09:00
